Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
8250,-6.6527756,106.8547283,467.379,19.724,19.79,1573087262550000,157,3
8305,-6.6527839,106.8547333,467.422,19.674,19.75,1573087262605000,157,3
8360,-6.6527922,106.8547384,467.495,19.661,19.7,1573087262660000,157,3
8415,-6.6528007,106.8547434,467.543,19.757,19.69,1573087262715000,157,3
8470,-6.652809,106.8547485,467.633,19.649,19.78,1573087262770000,157,3
8525,-6.6528174,106.8547535,467.727,19.644,19.67,1573087262825000,157,3
8580,-6.6528258,106.8547586,467.81,19.655,19.67,1573087262880000,157,3
8635,-6.6528341,106.8547636,467.823,19.649,19.68,1573087262935000,157,3
8690,-6.6528424,106.8547686,467.893,19.596,19.68,1573087262990000,157,3
8745,-6.6528507,106.8547735,467.937,19.559,19.62,1573087263045000,157,3
8800,-6.652859,106.8547785,467.954,19.547,19.59,1573087263100000,157,3
8855,-6.6528672,106.8547834,468.017,19.499,19.57,1573087263155000,157,3
8910,-6.6528754,106.8547884,468.064,19.47,19.53,1573087263210000,157,3
8965,-6.6528837,106.8547935,468.134,19.487,19.5,1573087263265000,157,3
9020,-6.6528919,106.8547986,468.19,19.507,19.51,1573087263320000,175,3
9074,-6.6529002,106.8548038,468.279,19.518,19.53,1573087263374000,175,3
9129,-6.6529084,106.8548088,468.328,19.462,19.54,1573087263429000,175,3
9184,-6.6529166,106.8548139,468.377,19.454,19.49,1573087263484000,175,3
9239,-6.6529249,106.8548189,468.403,19.472,19.48,1573087263539000,175,3
9294,-6.6529331,106.854824,468.466,19.439,19.5,1573087263594000,175,3
9349,-6.6529413,106.8548289,468.493,19.413,19.47,1573087263649000,175,3
9404,-6.6529495,106.854834,468.595,19.408,19.44,1573087263704000,175,3
9459,-6.6529577,106.8548391,468.648,19.422,19.43,1573087263759000,175,3
9514,-6.6529659,106.8548441,468.685,19.425,19.45,1573087263814000,175,3
9569,-6.6529739,106.8548493,468.722,19.414,19.45,1573087263869000,175,3
9625,-6.6529821,106.8548543,468.811,19.358,19.44,1573087263925000,175,3
9679,-6.6529902,106.8548593,468.868,19.32,19.39,1573087263979000,175,3
9734,-6.6529984,106.8548643,468.924,19.326,19.35,1573087264034000,175,3
9789,-6.6530067,106.8548693,468.981,19.358,19.35,1573087264089000,175,3
9845,-6.6530148,106.8548744,469.046,19.309,19.38,1573087264145000,175,3
9899,-6.6530229,106.8548794,469.115,19.303,19.34,1573087264199000,175,3
9954,-6.6530312,106.8548843,469.163,19.302,19.33,1573087264254000,175,3
10009,-6.6530394,106.8548894,469.236,19.288,19.33,1573087264309000,175,3
10065,-6.6530475,106.8548944,469.274,19.285,19.32,1573087264365000,175,3
10120,-6.6530556,106.8548994,469.306,19.233,19.31,1573087264420000,175,3
10175,-6.6530638,106.8549042,469.362,19.295,19.26,1573087264475000,175,3
10230,-6.6530721,106.8549091,469.407,19.299,19.32,1573087264530000,175,3
10285,-6.6530801,106.8549142,469.462,19.226,19.33,1573087264585000,175,3
10340,-6.6530882,106.8549191,469.504,19.191,19.25,1573087264640000,175,3
10395,-6.6530963,106.854924,469.534,19.226,19.22,1573087264695000,175,3
10450,-6.6531043,106.8549291,469.556,19.284,19.25,1573087264750000,175,3
10505,-6.6531124,106.854934,469.631,19.198,19.31,1573087264805000,175,3
10560,-6.6531205,106.854939,469.68,19.158,19.23,1573087264860000,175,3
10615,-6.6531286,106.8549438,469.693,19.19,19.19,1573087264915000,175,3
10670,-6.6531368,106.8549484,469.679,19.126,19.22,1573087264970000,175,3
10725,-6.6531451,106.8549531,469.715,19.142,19.15,1573087265025000,175,3
10780,-6.653153,106.8549584,469.782,19.173,19.17,1573087265080000,175,3
10835,-6.653161,106.8549635,469.85,19.207,19.2,1573087265135000,175,3
10890,-6.6531692,106.8549685,469.914,19.211,19.23,1573087265190000,175,3
10945,-6.6531773,106.8549736,469.967,19.196,19.24,1573087265245000,175,3
11000,-6.6531853,106.8549787,470.017,19.182,19.22,1573087265300000,175,3
11055,-6.6531934,106.8549837,470.057,19.165,19.21,1573087265355000,173,3
11110,-6.6532015,106.8549887,470.125,19.162,19.19,1573087265410000,173,3
11165,-6.6532094,106.8549938,470.186,19.125,19.19,1573087265465000,173,3
11220,-6.6532175,106.8549988,470.239,19.132,19.15,1573087265520000,173,3
11275,-6.6532256,106.8550039,470.298,19.135,19.16,1573087265575000,173,3
11330,-6.6532338,106.855009,470.367,19.216,19.16,1573087265630000,173,3
11385,-6.6532418,106.8550141,470.429,19.159,19.24,1573087265685000,173,3
11440,-6.6532498,106.8550193,470.485,19.166,19.19,1573087265740000,173,3
11495,-6.6532577,106.8550244,470.538,19.128,19.19,1573087265795000,173,3
11550,-6.6532659,106.8550296,470.601,19.239,19.16,1573087265850000,173,3
11605,-6.6532739,106.8550345,470.631,19.192,19.27,1573087265905000,173,3
11660,-6.6532819,106.8550397,470.643,19.216,19.22,1573087265960000,173,3
11715,-6.6532899,106.8550447,470.611,19.158,19.24,1573087266015000,173,3
11770,-6.6532978,106.8550498,470.656,19.073,19.18,1573087266070000,173,3
11825,-6.6533059,106.8550549,470.721,19.127,19.1,1573087266125000,173,3
11880,-6.6533141,106.85506,470.802,19.116,19.15,1573087266180000,173,3
11935,-6.653322,106.8550651,470.822,19.114,19.14,1573087266235000,173,3
11990,-6.65333,106.8550703,470.867,19.123,19.14,1573087266290000,173,3
12045,-6.6533381,106.8550753,470.917,19.115,19.15,1573087266345000,184,3
12100,-6.6533462,106.8550805,470.97,19.158,19.14,1573087266400000,184,3
12155,-6.6533542,106.8550855,470.994,19.083,19.18,1573087266455000,184,3
12210,-6.6533623,106.8550908,471.047,19.144,19.11,1573087266510000,184,3
12265,-6.6533703,106.855096,471.117,19.102,19.17,1573087266565000,184,3
12320,-6.6533783,106.8551013,471.22,19.106,19.13,1573087266620000,184,3
12375,-6.6533862,106.8551066,471.314,19.125,19.13,1573087266675000,184,3
12430,-6.6533941,106.855112,471.386,19.156,19.15,1573087266730000,184,3
12485,-6.653402,106.8551175,471.486,19.164,19.18,1573087266785000,184,3
12540,-6.6534099,106.8551228,471.524,19.104,19.19,1573087266840000,184,3
12595,-6.6534176,106.8551282,471.576,19.021,19.13,1573087266895000,184,3
12650,-6.6534254,106.8551337,471.642,19.067,19.05,1573087266950000,184,3
12705,-6.6534333,106.8551391,471.704,19.117,19.1,1573087267005000,184,3
12760,-6.6534412,106.8551445,471.767,19.12,19.15,1573087267060000,184,3
12815,-6.6534491,106.8551498,471.829,19.107,19.15,1573087267115000,184,3
12870,-6.6534569,106.8551552,471.886,19.068,19.14,1573087267170000,184,3
12925,-6.6534647,106.8551605,471.941,19.039,19.1,1573087267225000,184,3
12980,-6.6534725,106.8551658,471.993,19.04,19.07,1573087267280000,184,3
13035,-6.6534803,106.8551711,472.053,19,19.07,1573087267335000,168,3
13090,-6.6534881,106.8551766,472.088,19.089,19.03,1573087267390000,168,3
13145,-6.6534959,106.855182,472.167,19.076,19.12,1573087267445000,168,3
13200,-6.6535037,106.8551873,472.198,18.955,19.1,1573087267500000,168,3
13255,-6.6535116,106.8551928,472.232,19.068,18.98,1573087267555000,168,3
13310,-6.6535194,106.8551982,472.265,19.1,19.1,1573087267610000,168,3
13365,-6.6535271,106.8552038,472.328,19.092,19.13,1573087267665000,168,3
